CJK Unified Ideographs Extension A 	U+3400 - U+4DB5
Yijing Hexagram Symbols 	U+4DC0 - U+4DFF
CJK Unified Ideographs 	U+4E00 - U+9FCB
Yi Syllables 	U+A000 - U+A48C
Yi Radicals 	U+A490 - U+A4C6
Lisu 	U+A4D0 - U+A4FF
Vai 	U+A500 - U+A62B
Cyrillic Extended-B 	U+A640 - U+A697
Bamum 	U+A6A0 - U+A6F7
Modifier Tone Letters 	U+A700 - U+A71F
Latin Extended-D 	U+A720 - U+A7FF
Syloti Nagri 	U+A800 - U+A82B
Common Indic Number Forms 	U+A830 - U+A839
Phags-pa 	U+A840 - U+A877
Saurashtra 	U+A880 - U+A8D9
Devanagari Extended 	U+A8E0 - U+A8FB
Kayah Li 	U+A900 - U+A92F
Rejang 	U+A930 - U+A95F
Hangul Jamo Extended-A 	U+A960 - U+A97C
Javanese 	U+A980 - U+A9DF
Cham 	U+AA00 - U+AA5F
Myanmar Extended-A 	U+AA60 - U+AA7B
Tai Viet 	U+AA80 - U+AADF
Ethiopic Extended-A 	U+AB01 - U+AB2E
Meetei Mayek 	U+ABC0 - U+ABF9
Hangul Syllables 	U+AC00 - U+D7A3
Hangul Jamo Extended-B 	U+D7B0 - U+D7FB
High Surrogates 	U+D800 - U+DB7F
High Private Use Surrogates 	U+DB80 - U+DBFF
Low Surrogates 	U+DC00 - U+DFFF
Private Use Area 	U+E000 - U+F8FF
CJK Compatibility Ideographs 	U+F900 - U+FAD9
Alphabetic Presentation Forms 	U+FB00 - U+FB4F
Arabic Presentation Forms-A 	U+FB50 - U+FDFD
Variation Selectors 	U+FE00 - U+FE0F
Vertical Forms 	U+FE10 - U+FE19
Combining Half Marks 	U+FE20 - U+FE26
CJK Compatibility Forms 	U+FE30 - U+FE4F
Small Form Variants 	U+FE50 - U+FE6B
Arabic Presentation Forms-B 	U+FE70 - U+FEFF
Halfwidth and Fullwidth Forms 	U+FF01 - U+FFEE
Specials 	U+FFF9 - U+FFFD
Linear B Syllabary 	U+10000 - U+1005D
Linear B Ideograms 	U+10080 - U+100FA
Aegean Numbers 	U+10100 - U+1013F
Ancient Greek Numbers 	U+10140 - U+1018A
Ancient Symbols 	U+10190 - U+1019B
Phaistos Disc 	U+101D0 - U+101FD
Lycian 	U+10280 - U+1029C
Carian 	U+102A0 - U+102D0
Old Italic 	U+10300 - U+10323
Gothic 	U+10330 - U+1034A
Ugaritic 	U+10380 - U+1039F
Old Persian 	U+103A0 - U+103D5
Deseret 	U+10400 - U+1044F
Shavian 	U+10450 - U+1047F
Osmanya 	U+10480 - U+104A9
Cypriot Syllabary 	U+10800 - U+1083F
Imperial Aramaic 	U+10840 - U+1085F
Phoenician 	U+10900 - U+1091F
Lydian 	U+10920 - U+1093F
Kharoshthi 	U+10A00 - U+10A58
Old South Arabian 	U+10A60 - U+10A7F
Avestan 	U+10B00 - U+10B3F
Inscriptional Parthian 	U+10B40 - U+10B5F
Inscriptional Pahlavi 	U+10B60 - U+10B7F
Old Turkic 	U+10C00 - U+10C48
Rumi Numeral Symbols 	U+10E60 - U+10E7E
Brahmi 	U+11000 - U+1106F
Kaithi 	U+11080 - U+110C1
Cuneiform 	U+12000 - U+1236E
Cuneiform Numbers and Punctuation 	U+12400 - U+12473
Egyptian Hieroglyphs 	U+13000 - U+1342E
Bamum Supplement 	U+16800 - U+16A38
Kana Supplement 	U+1B000 - U+1B001
Byzantine Musical Symbols 	U+1D000 - U+1D0F5
Musical Symbols 	U+1D100 - U+1D1DD
Ancient Greek Musical Notation 	U+1D200 - U+1D245
Tai Xuan Jing Symbols 	U+1D300 - U+1D356
Counting Rod Numerals 	U+1D360 - U+1D371
Mathematical Alphanumeric Symbols 	U+1D400 - U+1D7FF
Mahjong Tiles 	U+1F000 - U+1F02B
Domino Tiles 	U+1F030 - U+1F093
Playing Cards 	U+1F0A0 - U+1F0DF
Enclosed Alphanumeric Supplement 	U+1F100 - U+1F1FF
Enclosed Ideographic Supplement 	U+1F200 - U+1F251
Miscellaneous Symbols And Pictographs 	U+1F300 - U+1F5FF
Emoticons 	U+1F601 - U+1F64F
Transport And Map Symbols 	U+1F680 - U+1F6C5
Alchemical Symbols 	U+1F700 - U+1F773
CJK Unified Ideographs Extension B 	U+20000 - U+2A6D6
CJK Unified Ideographs Extension C 	U+2A700 - U+2B734
CJK Unified Ideographs Extension D 	U+2B740 - U+2B81D
CJK Compatibility Ideographs Supplement 	U+2F800 - U+2FA1D
Tags 	U+E0001 - U+E007F
Variation Selectors Supplement 	U+E0100 - U+E01EF
Supplementary Private Use Area-A 	U+F0000 - U+FFFFD
Supplementary Private Use Area-B 	U+100000 - U+10FFFD
